title,docid,link,relevance
TRW Automotive,13449780,https://en.wikipedia.org/wiki/?curid=13449780,5
Tenth Air Force,464030,https://en.wikipedia.org/wiki/?curid=464030,1
AK Steel Holding,3640253,https://en.wikipedia.org/wiki/?curid=3640253,4
MeWATCH,60427018,https://en.wikipedia.org/wiki/?curid=60427018,1
United Auto Workers,320140,https://en.wikipedia.org/wiki/?curid=320140,4
William C. Durant,369262,https://en.wikipedia.org/wiki/?curid=369262,5
Heavy industry,1608478,https://en.wikipedia.org/wiki/?curid=1608478,2
Automotive industry in the Soviet Union,3383654,https://en.wikipedia.org/wiki/?curid=3383654,2
Football Association of Ireland,13373575,https://en.wikipedia.org/wiki/?curid=13373575,1
Guardian Industries,19020357,https://en.wikipedia.org/wiki/?curid=19020357,4
Early 1980s recession in the United States,31459743,https://en.wikipedia.org/wiki/?curid=31459743,3
Ganzhou,937324,https://en.wikipedia.org/wiki/?curid=937324,1
"Little Rock, Arkansas",18520327,https://en.wikipedia.org/wiki/?curid=18520327,1
Corruption in Malaysia,42043879,https://en.wikipedia.org/wiki/?curid=42043879,1
Hyundai WIA,28662066,https://en.wikipedia.org/wiki/?curid=28662066,3
Foreign direct investment in India,48090491,https://en.wikipedia.org/wiki/?curid=48090491,2
"Thorns, spines, and prickles",25725334,https://en.wikipedia.org/wiki/?curid=25725334,1
Rondebosch,1168431,https://en.wikipedia.org/wiki/?curid=1168431,1
Ukraine at the 2008 Summer Olympics,17410350,https://en.wikipedia.org/wiki/?curid=17410350,1
Quenching,1166049,https://en.wikipedia.org/wiki/?curid=1166049,3
Surface roughness,2260140,https://en.wikipedia.org/wiki/?curid=2260140,2
Windows IoT,8969589,https://en.wikipedia.org/wiki/?curid=8969589,2
Automotive industry in Canada,23560776,https://en.wikipedia.org/wiki/?curid=23560776,3
Kenneth Turan,4123773,https://en.wikipedia.org/wiki/?curid=4123773,1
Rockwell International,26367,https://en.wikipedia.org/wiki/?curid=26367,3
Midwestern United States,104697,https://en.wikipedia.org/wiki/?curid=104697,4
"California State University, Dominguez Hills",700112,https://en.wikipedia.org/wiki/?curid=700112,1
David Mark,12932088,https://en.wikipedia.org/wiki/?curid=12932088,1
Russian interference in the 2018 United States elections,56579889,https://en.wikipedia.org/wiki/?curid=56579889,1
Crain Communications,6132011,https://en.wikipedia.org/wiki/?curid=6132011,3
Metro Detroit,490908,https://en.wikipedia.org/wiki/?curid=490908,5
Speciality chemicals,37805597,https://en.wikipedia.org/wiki/?curid=37805597,3
Automotive industry in Turkey,23842092,https://en.wikipedia.org/wiki/?curid=23842092,3
Commerce,39208,https://en.wikipedia.org/wiki/?curid=39208,2
American Redoubt,32064959,https://en.wikipedia.org/wiki/?curid=32064959,1
Baba Kalyani,4513304,https://en.wikipedia.org/wiki/?curid=4513304,2
Paris Opera Ballet,782544,https://en.wikipedia.org/wiki/?curid=782544,1
Autodesk,180584,https://en.wikipedia.org/wiki/?curid=180584,3
Pharmacy school,14831636,https://en.wikipedia.org/wiki/?curid=14831636,1
Applications of artificial intelligence,15893057,https://en.wikipedia.org/wiki/?curid=15893057,2
Isuzu,523288,https://en.wikipedia.org/wiki/?curid=523288,1
Ribbon,303781,https://en.wikipedia.org/wiki/?curid=303781,1
Rust Belt,980865,https://en.wikipedia.org/wiki/?curid=980865,3
General Motors,12102,https://en.wikipedia.org/wiki/?curid=12102,5
Taira no Kiyomori,180280,https://en.wikipedia.org/wiki/?curid=180280,1
Vince Lombardi Trophy,271635,https://en.wikipedia.org/wiki/?curid=271635,1
Manufacturing in the United States,30557091,https://en.wikipedia.org/wiki/?curid=30557091,2
Central Michigan,6483240,https://en.wikipedia.org/wiki/?curid=6483240,2
NSF International,30871962,https://en.wikipedia.org/wiki/?curid=30871962,1
ZF Friedrichshafen,1049540,https://en.wikipedia.org/wiki/?curid=1049540,2
